Model,title,rate,content
Huawei Mate 20 Pro,"Huawei Mate 20 Pro review – PUBG Gameplay, Sab Kuchh Zhakaas!",4.8,"Huawei Mate 20 Pro is now available on Amazon for Rs. 69,990. Read this review, watch the Mate 20 Pro review video to know more about the performance, camera quality and battery life. In the video I also played the PUBG game. ,Build and finishing is pretty good, very premium and unique. The Mate 20 Pro looks like the Samsung Galaxy S series Smartphone with curved display. Handset is comfortable to hold but a little slippery. EMUI 9 runs the show based on Android 9.,Display quality is really good, there is in display finger print sensor that works pretty good, fast and accurate and there is face unlock too (3D face unlock). There are some features that are pretty unique, like the wireless reverse charging, when enabled you will be able to wirelessly charge other devices that support wireless charging via the Huawei Mate 20 Pro handset – check video review.,Inside the hood the Mate 20 Pro is powered by Kirin 980 octa core processor, got score of 2,23,000 approx on Antutu. I played PUBG game in HDR and Ultra Graphics mode and it played really well, pretty smooth.,Huawei Mate 20 Pro comes with triple camera on the rear – a 40MP wide angle lens, 20MP ultra wide angle lens and 8MP Telephoto lens. Front camera is 24MP. There are a lot of effects, plus in portrait mode you can zoom in. In Photo mode you can choose wide angle, normal or zoom mode.,The unique thing is the AI color effect option when shooting videos, with this effect you will be able to shoot Hollywood style, i.e. the subject will be in color and the background will be in Black and White.,Do check the samples images listed below., , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,The 4200 mAh battery took about 1 hour 12 minutes for a full charge using 40W charger. On a full charge you can get one to one and a half day of mixed usage, even more based on your usage pattern.,6.39-inch (3120 x 1440 pixels) QHD+ OLED 19.5:9 display,
Kirin 980 octa core,
6GB LPDDR4x RAM, 128GB storage,
EMUI 9.0 based on Android 9.0 (Pie),
Hybrid Dual SIM slot,
Dual Speakers main speaker is within the USB Type C port,
IP68 Water, dust resistant,
Supports Dual Volte, comes with in-display finger print sensor, 3D face unlock,
4200 mAh battery with 40W SuperCharge, 15W Wireless Quick Charge,
Front camera is 24MP,
On rear there is 40MP + 20MP + 8MP triple Leica camera,This is a premium Smartphone, comes with premium price tag. If you have the budget and planning to buy, then the Huawei Mate 20 Pro is surely an excellent option.,You can buy this from Amazon – ,https://youtu.be/imqPE56FLZo"
Apple Watch Series 4,"Apple Watch Series 4 review, unboxing, battery life (44mm), Sport loop – Hindi",4.5,"Here is the Apple Watch Series 4 unboxing and review. In this video I have shown the content you will get inside the box, talked about features, performance and battery life. This is Apple Watch Series 4 GPS 44mm. ,You can buy the Apple Watch Series 4 from Amazon price starts from Rs. 40,000 onwards – ,Dual core powered, Apple S4,
30% larger display, LTPO AMOLED capacitive touchscreen, 1.78 inch screen with 448 x 368 resolution,
supports 3D touch and comes with Sapphire crystal glass protection,
16GB storage, running Watch OS 5.0,
Wi-Fi, Bluetooth 5, NFC, GPS,
Speaker + Mic you can make / receive calls on the watch,
Accelerometer, gyro, heart rate (2nd gen), barometer,
Also supports Siri natural language commands and dictation,
Takes about 2 hours for battery charge,
On full charge I got one and a half to two days of battery life"
Samsung Galaxy Watch,"Samsung Galaxy Watch review – Better battery life, stylish, running Tizen OS, priced Rs. 29,999",4.4,"If you are looking out to buy a premium smartwatch then do check the Samsung Galaxy Watch. This Samsung watch is stylish, available in Black, Silver and Gold color options and does give a decent battery life. ,You can buy the Samsung Galaxy Watch here (Rs. 29,999) – ,Do check the Samsung Galaxy Watch review, have done the unboxing, talked about features and performance. Samsung Galaxy Watch is running Tizen OS and comes with built in Wi-Fi, Bluetooth and GPS. Display looks awesome, its Super AMOLED screen of size 1.3 inches and supporting 360 x 360 pixels resolution. Touch screen with Scratch Resistant Gorilla Glass DX+.,Unique thing is the rotating bezel that can be used for navigation, and it really makes sense to have that system. Inside the hood this Samsung Smartwatch is powered by dual core processor clocked at 1.5GHz, packed with 1.5GB RAM and 4GB ROM. There is Accelerometer, Barometer, Gyro Sensor, HR Sensor and Light Sensor.,The 472 mAh non-removable battery gives up to 2 days of battery life, with heavy usage it will last for a full day. It takes about one to one and a half hour for a full charge.,Samsung Galaxy Watch can keep track of your fitness activities, it can count steps, monitor your sleep, calories burned, distance, GPS for tracks, there are 39+ workout activities that the watch can track and its 5ATM water resistant.,Galaxy Watch also comes with built in Speaker and Microphone, you can make / receive calls using the watch, comes really handy while driving. Watch speaker sound is pretty loud.,There are a lot of watch faces available and you can download many more, do check the video review.,If you are planning to buy a premium smartwatch then the Samsung Galaxy Watch is also a very good option, price in India is Rs. 29,999."
FS08 Smart Watch,"FS08 Smart Watch with GPS, Compass, always on Transflective display",3.5,"This is another smartwatch the FS08. In this video I have done the unboxing, talked about features and performance. The FS08 smartwatch comes with built in GPS, is IP68 certified, has a heart rate sensor and its using always on Transflective that is easily visible under sunlight. ,You can buy the FS08 from Gearbest $89.99 approx Rs. 6,400 use priority line shipping – ,Also check Black Friday – ,Watch Amazfit Pace review – ,1.26 inch large round screen, 320 x 320 resolution.,
Built-in polymer lithium battery, 120 hours standby time.,
Precise satellite, GPS positioning.,
Multi-mode different sports monitoring, cycling, running, walking.,
More functions: sedentary reminder, pedometer, sleep monitor, stopwatch, heart rate monitor, IP68 waterproof, compass, 4 sports modes, etc.,
use APP: LinkTo,
450 mAh battery, 2 hours charging, 3 to 4 days battery life"
Canon Pixma G3010,Canon Pixma G3010 all in one wireless ink tank printer review,4,"It makes sense to buy an Ink Tank Printer, here is a good printer you can consider the Canon Pixma G3010. This ink tank printer can print, scan and copy, it also comes with built in Wi-Fi that offers wireless connectivity option. ,You can buy the Pixma G3010 from Amazon price Rs. 13,000 approx – ,Ink tank printers are cheaper in the long run and good thing is that the ink does not dry that easy, so if you are not using it for months no issues. The cost per print is also quite less around 8 paise for B/W and 21 paise for color.,Ink bottle cost is Rs. 470 for black and each color bottle also cost Rs. 470. With Black ink you can get about 6000 pages and with color ink you can get around 7000 pages. The ink tank are transparent so you can keep track of the ink levels, plus back in tank is on left side where as color inks are on right side.,Canon Pixma G3010 is best for home and office use.,
Printer Type – Ink Tank, Functionality – All-in-One (Print, Scan, Copy), Printer Output – Color,
Wi-Fi, USB, Canon Selphy App (Direct Mobile Printing), Display – 1.2″ LCD,
Pages per minute – 8.8 pages (Black & White), 5 pages (Colour), Cost per page – 8 paise (Black & White), 21 paise (Colour) – As per ISO standards,
Home and Small office, Regular / Heavy usage (more than 300 pages per month),
Page size supported – 4.0″x6.0″ till A4 / Letter / Legal / A5 / B5, Duplex Print – Manual, Print resolution – 4800×1200,
Compatible Ink Bottle – GI-790 (Black), GI-790 (Cyan, Magenta, Yellow), Page Yield – 7000 pages, Comes with 1 each of all 4 ink bottles inside the box,
Warranty – 1 year from the date of purchase, "
OnePlus Explorer Backpack,"OnePlus Explorer Backpack Morandi Green Features, plus Invitation codes",4.5,"OnePlus Explorer Blackpack is listed on the OnePlus website. In this video I have shown the features and talked about how you can get one. You need a invitation code as the product for now is invitation based. ,If you are really interested then tweet this video and add #OPExplorercodes, I have just 5 invitation codes so if you are really interested then hurry.,Here is the link : ,Color options Slate Black / Morandi Green,
Dimensions Width: 340 mm, Depth: 130 mm, Height: 465 mm,
Material used |,Slate Black:,
Exterior fabric: 100% Nylon(CORDURA),
Lining fabric: 100% Polyester,Morandi Green:,
Exterior fabric: 100% Polyester,
Lining fabric: 100% Polyester,Shoulder Strap,
Real Dupont™Kevlar® fiber sewing line,
Padded & Adjustable but not Detachable,
Trolley Handle Pass,
Through Strap,
No. of Compartments 3,
No. of Pockets 8,
Haul Loop 1,Fits 15” Laptop.,
Special care – Clean With A Soft Cloth.,
Do Not Machine Wash.,-~-~~-~~~-~~-~-,
HUGE list of coupons and deals for International shopping https://www.gogi.in/huge-list-of-coupons-and-deals-for-international-shopping.html,
-~-~~-~~~-~~-~-"
Redmi Note 6 Pro,"Redmi Note 6 Pro review – Note 5 Pro Comparison, PUBG Test, Camera review, price in India Rs. 13,999",4.5,"Xiaomi today launched the Redmi Note 6 Pro in India, this handset is successor to the Redmi Note 5 Pro and in fact using the same hardware i.e. the Snapdragon 636. Redmi Note 6 Pro price in India is from Rs. 13,999 is it worth the price, find out. ,Redmi Note 6 Pro 4GB/64GB is Rs. 13,999 but tomorrow on Flipkart for just one day you can get for Rs. 12,999.,The 6GB /64GB is Rs. 15,999 and tomorrow for one day special price is Rs. 14,999.,When you compare Redmi Note 5 Pro with Redmi Note 6 Pro they may look similar but there are some design changes and the Note 6 Pro looks much better, feels more comfortable to hold and use. Screen is bigger on Note 6 Pro and screen is also gorilla glass protected.,Performance is pretty good; you can play PUBG on this handset. The MIUI 10 looks great and works really smooth. I got Antutu score of about 114K, check the video review and also watch PUGB gameplay action.,Camera quality is excellent though there are some minor issues and that can be fixed via software updates. Handset can shoot FHD videos, slow-mo and time lapse., , , , , , , , , , , , , , , ,6.26 inch screen, FHD+ (2280 x 1080), 19:9 aspect ratio, 2.5D curved glass, Gorilla Glass Protection,
4GB RAM + 64GB RAM or 6GB RAM + 64GB ROM,
Hybrid slot supports dual VoLTE,
MIUI 10 based on Oreo,
Metal Body, Finger Print sensor, face unlock, IR blaster,
4000 mAh battery supports Quick Charge 3.0,
12MP + 5MP dual camera (f/1.9), EIS, dual LED flash,
20MP + 2MP dual front camera, AI face unlock, AI portrait selfie,
Qualcomm Snapdragon 636, 14nm, LPDDR4X RAM,Battery life is really good just like as seen on the Redmi Note 5 Pro, you will get one and a half to two days on a full charge, the 4000 mAh battery takes about 2 hours 10 minutes for a full charge.,Those who had already bought / using the Redmi Note 5 Pro, may not want to upgrade but there is no doubt that the Redmi Note 5 Pro is still the best handset for the price out there, and no doubt the Redmi Note 6 Pro will also be at par.,What we need to see if any Brand comes up with a Smartphone that will beat the Redmi Note 5 pro / Redmi Note 6 Pro?"
Noise Shots X5,"Noise Shots X5 review – Best true wireless earbuds, first Indian earbuds with Bluetooth v5.0",4.6,"If you are planning to buy a true wireless earbuds then the Noise Shots X5 is a really good option. It is using Bluetooth 5.0, comes with secure fit and the charging case can not only charge the earbuds but it can also charge your Smartphone, yes you can use the case like a power bank. ,You can buy the Noise Shots X5 for Rs. 4,999 (some extra discount to limited period) – ,– Bluetooth v5.O,
– Stereo Mode, when you get call you can audio on both the left and right earbuds,
– 2200 mAh battery in the charging case (built in), takes about 3 hours for charging the case and on a full charge the case can charge earbuds up to 10 times.,
– Each earbuds come with 60 mAh battery and on a full charge can give 3 to 4 hours of non-stop entertainment, earbuds fits comfortably,
– A2DP, HFP,HSP,A2DP, AVRCP & AAC supported,
– IPX5 certified, sweat resistant,
– first Indian Bluetooth v5.0 TWS"
Alfawise EKEN V50 Pro,"Alfawise EKEN V50 Pro review – 4K UHD action camera, with remote for Rs. 4844, camera samples",4.1,"Here is Alfawise EKEN V50 Pro review this is a action camera that can shoot in 4K UHD resolution and also comes with a remote control. The camera is priced at just Rs. 4,844. ,You can buy this 4K action camera from Gearbest for $65 approx (Rs. 4,844) – ,Can shoot Stunning ultra 4K video and 12MP photos in single, burst and time-lapse modes,
Comes with waterproof case with up to 30m protection,
170-degree wide angle fish-eye lens,
WiFi control design, you can remote control it,
Mini size, easy to carry and use,
2-inch HD screen, lightweight and convenient,
Power supply: 1050mAh lithium battery ( included ),
External memory: 16 – 32GB TF card, UHS-3 or above ( not included ),
A 2.4G remote controller and a USB charging cable are included, ,Unique feature comes with tripod stand and a wireless remote that comes real handy.,Watch the review video – samples included."
Duracell 10050 mAh powerbank,"Duracell PowerBank review – 10050 mAh powerbank for Rs. 2,499",4.5,"Here is Duracell PowerBank review, in this video I have done the Duracell PB10050 i.e. 10050 mAh power bank unboxing, talked about features and performance. There are mAh options available you can go with 10050 mAh, 6700 mAh or 3350 mAh. ,Buy the Duracell Power bank from Amazon – price starts from Rs. 1,879 – ,What I liked about the powerbank is the compact size, the length is smaller and other dimensions have increased. Plus the company is offering 3 years warranty which is a unique thing.,Comes with 1x micro USB port for charging and 2x USB ports to charge other devices,
Input is 5V/2.4A (max) and output is 5V/2.4A (max),
The Duracell power bank can charge your phones up to 2x time faster,
Comes with 3 year warranty,Protection to consumers and their phones against short circuit (input & output),
Over voltage (at output port),
Flame retardant case,
Dual safety circuits,
Under temperature operation,
Output overload,
Over and under voltage at the input,
Cable loop protection,
Over temperature protection,
Over charge or discharge at cell level,10,050 mAh power bank = Rs. 2,499,
6,700 mAh power bank = Rs. 1,879,
3,350 mAh power bank = Rs. 1,249"
Actofit SmartScale,"Actofit SmartScale Measures 14 body composition metrics, Smart AI Health Coach best smart scale",4.5,"This is Actofit SmartScale, unlike the other Smart Scales that measures max 9 metrics, this one can measure 14 metrics. This smart weight scale is priced at Rs. 5,999 but you can get for a discounted price check below (limited period only). ,Website Link: , (Rs. 4,799),
Amazon Actofit Store link: ,
Amazon link: , (Rs. 4,999),Actofit Smart scale accurately measures 14 body composition metrics- muscle mass, fat, BMI, protein, water, etc for effective weight management.,BMI, BMR, Body Fat, Body Water, Bone Mass, Fat Free Weight, Muscle Mass,Protein, Skeletal Muscle, Subcutaneous Fat, Visceral Fat, Weight, Physique Rating, Metabolic Age,It is using Dual frequency BIA technology for accuracy and reliability over traditional analysis methods.,Makes use of Bluetooth for connectivity,Artificial intelligence powered smart weighing scale: Recommendation engine that provide personalized advice based on your progress.,Can store separate data of up to 16 users"
Lenovo Wwatch 9,"Lenovo Watch 9 Quartz Smartwatch for just Rs. 1,200 (limited Period)",4,"This is the Lenovo Watch 9, this is a quartz smartwatch that can keep track of your physical activities. This is cheaper than the Xiaomi Quartz watch that I reviewed earlier, but the quality of Xiaomi watch is much better. ,You can buy the Lenovo Watch 9 from Gearbest limited period price $16.99 approx Rs. 1,200 – here is link – ,Also check Xiaomi Mijia Quarts Smartwatch – ,Bluetooth Version: Bluetooth 5.0,
Other Function: Alarm,Bluetooth,Low Battery Reminder,Stopwatch,
Health tracker: Pedometer,Sedentary reminder,Sleep monitor,
remote camera, phone find,
Round dial, Button Crown,
CR2032 battery, battery life 8 month to 12 months depending on usage,
Band material: Silicone,
Case material: Stainless Steel,
Shape of the dial: Round,
5ATM Water Resistant"
iFFalcon 40F2A,iFFalcon 40F2A review –  FHD with HDR in budget price during Big Billion Days,,"Here is the iFFalcon 40F2A review, in this video I have also done the unboxing of the iFFalcon 40 inch TV, talked about features, specification and quality. The iFFalcon brand is offering FHD and HDR for a low price and this is the only brand for now that is offering 40″ AI TV in India. ,The price of 32 inch TV is Rs. 14,999 but during the Big Billion Day Sales it will be available for Rs. 13,499. Here is the link on Flipkart – ,The Price of this iFFalcon 40F2A 40 inch TV will be revealed during the Big Billion Day Sales.,The iFFalcon 40F2A looks great, comes with gloss molding on the front and texture molding on lower front frame. Screen quality is really good considering the price.,Google Certified TV (LED FHD DTV),
64 bit quad core CPU, Mali 470 x 2 GPU,
Running Android O Google Android TV Certified,
Supports HDR – 2K HDR10 Decoding,
Power consumption : 75W, ECO Energy Efficient,
10W x 2 speakers – total 20W output,
40 inch screen using DLED backlight unit, 1920 x 1080 pixels resolution,
Supports Google Voice input, unit comes with special TCL remote with voice button,
Wi-Fi, Bluetooth,
Google chromecast built in,
1x USB, 2x HDMI, 1x SPDIF, AV in, headphone jack, Antenna cable in, RJ45 wired lan port,
Supports Dolby,
2GB RAM, 8GB ROM (eMMC),
UI Google Android TV UI & TCL TV+3.x UI,
Other features – Micro Dimming, Motion Clarity,
YouTube, Google Play games, Google Play Store, Google Play Movies, Google Cast, Netflix and more,
USB drive supports – H.265/H.264,MPEG1/2/4,WMV,VC1,VP8,VP9（1080P),Major Shareholders iFFalcon: TCL, Tencent and South New Media"
GeekCases 515,"GeekCases 515 review Magnetic Bluetooth earphone  Rs. 1,599 during Amazon Great Indian Festival",4.5,"Here is GeekCases 515 review, this is a magnetic bluetooth earphone and in the video you can see the unboxing, content inside the box, features and performance. ,You can buy this GeekCases 515 earphone from Amazon for Rs. 1,599 the actual price is Rs. 2,499 but during the Amazon Great Indian Sale you can get it for just Rs. 1,599. Here is the link – ,10MM drivers, APTX codec with Qualcomm CSR 8645 bluetooth chipset offer CD-like high fidelity sound quality. Bluetooth 4.1 technology enables quick transmission and smooth connection, compatible with most Android/IOS/Windows devices.,CVC 6.0 Passive Noise Cancellation : Connect upto 2 devices together, CVC 6.0 standard noise cancellation ensures reduced disturbance in noise environments like Gymming and Running,6 hours long lasting battery after only 1-2 hours charging,IPX5 Sweat Proof Build & Secure Fit. Unit comes with a water proof carry case.,Supports Google Assistant, BT 515 is not only the Bluetooth earphones for iPhone, also it can work with all smartphones, tablets, and music players. It provides up to 10 meters/33 feet range (outdoor only without obstructions)."
Noise ColorFit,"Noise ColorFit review – Fitness Band with color display, price Rs. 1,999 – is it better than Mi Band 3?",4,"Here is Noise ColorFit review in this video I have done the Noise Colofit unboxing, talked about features, specifications and performance. Unique thing about the fitness band is it comes with a colorful display with 3 watch faces. ,You can buy this fitness band for Rs. 1,999 – ,This band features a 0.96 inch TFT LCD screen, strap is made of TPU material and band is IP67 certified,
You need to download Da Fit app from Play store or apple store,
Colorfit fitness band comes with a lifetime subscription of mobile fit 5k run training program, this fitness trainer provides you with customized training schedule along with diet plan,
The 90 mAh battery gives up to 3 days of battery life, depending on your usage,
Band features – steps, calories, distance, heart rate, SPO2, Blood Pressure, Sedentary reminder, sleep monitor,
Works with Android 4.4 and above and iOS 9 and above"
Epson L6190,"Epson L6190 review – Ink Tank Printer, for office use, with FAX, price Rs. 24,099",4.6,"Here is the Epson L6190 review, in this video I have done the L6190 unboxing, talked about features and also shown some sample print material and scans. Unique thing about this printer is it can copy, scan, print and comes with built in Fax. ,You can buy this from Amazon – ,Also from,
,Printer cost – 24,099,Ink bottle cost,
———————–,
Black ink bottle (127ml) – Rs. 899,
Cyan (70ml) Rs. 409,
Magenta (70ml) Rs. 409,
Yellow (70ml) Rs. 409,For Print, Scan, Copy, Fax with ADF,
2.4 ” Colour LCD Touch Panel,
Bi-directional printing, Uni-directional printing,
Automatic 2-sided printing (Duplex printing),
Copy resolution – 600 x 1200 dpi,
Scan resolution 1200 x 2400 dpi,ADF (Automatic Document Feeder) – Support Paper Thickness:64-95 g/m2Paper Capacity:30 pages (75 g/m2),
Black Bottle print – 7500 pages,
Color Bottle print – 6000 pages,
Price per page Black 12 paise and color 20 paise,
100-Page Fax Storage Memory,
Epson Connect Enabled,
Wi-Fi and Wi-Fi Direct Connectivity,
Space-saving Design, Spill-free Refilling,
Superb Quality and Cost-savings,
Multi paper scanning feature"
Wings Steel,"Wings Steel review – Metallic Sports Wireless Bluetooth Ear Loop Earphones for Rs. 1,999",4.5,"This is the Wings Steel review, in this video I have unboxed the Wings Steel, talked about features and performance. This Bluetooth earphone comes with ear loop and looks really awesome. ,Amazon : ,Myntra : ,The 110 mAh battery gives up to 10 hours of music playback, it takes just about 1.5 hours for a full charge,You can use this Bluetooth earphone with Android and iOS devices,Wings Steel is using Neodymium drivers that provide rich and deep bass and clear vocals. Perfect for Bollywood type music,It does come with built in Mic and 3 button control,Product looks great, its light weight, body made of metal alloy and plastic,You can use this earphone for travel, running, sports , working out at gym or at home"
Realme C1,Realme C1 review – really में best budget friendly smartphone,4.2,"With ,, the company also launched the Realme C1 smartphone that not only comes with impressive specifications but also carries an impressive price tag. Here is the review of Realme C1, it really is the best budget friendly smartphone for the price of just Rs. 6,999. ,The Realme C1 comes with triple SIM slots and is powered by Qualcomm Snapdragon 450 octa core processor, good part is it does support dual VoLTE – check video review to see it in action. The C1 weighs about 168 grams and is 8.2mm thick.,It is running ColorOS 5.1 out of the box based on Android 8.1. There is 2GB RAM and 16GB ROM, plus micro SD card of up to 256GB is supported. Realme C1 does not come with finger print sensor but there is face unlock that does a really good job, very fast, almost instant.,Screen is 6.2 inches with 1520 x 720 pixels resolution (HD+), 19:9 aspect ratio, and yes display with notch and 2.5D curved glass. When it comes to sensor you also get gyro and magnetic sensors, along with other common sensors. There is built in Wi-Fi and Bluetooth.,The Qualcomm Snapdragon 450 chipset is well know, powerful and efficient. For general use the handset gives a good performance, but when it comes to gaming you will need to reduce the graphics quality.,Antutu score I got was – 73656,I even tested the Pubg game. Pubg game play was good enough, not really that smooth but playable. I guess the 2GB RAM does effect the performance on some app, specially the high end games, 3GB would have improved the performance, but for Rs. 6,999 can’t really complain.,On the rear there are dual cameras 13MP + 2MP and front camera is 5MP. Rear camera aperture is f/2.2 + f/2.4 and front camera aperture is f/2.2. You can shoot portrait mode using both front and rear camera. Do check the camera samples.,This handset can shoot FHD videos, there is no slow mo option but you can shoot time-lapse videos. Camera quality is above average. Day light bokeh shots / long shots are great but low light shots are not that impressive., , , , , , , , , , , , , , ,Another impressive thing on the C1 is the 4230 mAh battery. They have given 5V/1A charger that took me about 4 hours 20 minutes for a full charge. But on a full charge you will get up to 2 days of battery life with mixed usage.,I don’t think for this price you will get such features in a smartphone. There are minor issues (check video review) but for Rs. 6,999 this is no doubt the best budget friendly smartphone.,You can buy the Realme C1 from Flipkart on 11th October at 12PM here is link – "
JBL Endurance SPRINT,"JBL Endurance SPRINT review – sports earphone that will never fall, just for Rs. 3,499",4.7,"Here is JBL Endurance SPRINT review, in this video I have done the unboxing of the Endurance Sprint, talked about features, specifications and quality. ,You can buy the JBL Endurance SPRINT earphone from – ,This earphone is IPX7 certified, comes with built in touch controls and on a full charge the battery will last for up to 8 hours non-stop.,Speed charging is supported a 10 minutes charge will give give up to 1 hour of usage time,The unique thing about the JBL Endurance SPRINT is the MagHook design, it is made to never hurt and never fall out. These is a built in mic too for hands free operation.,This earphone is perfect for sports related activities, like walking, jogging, gym workouts, high intensity exercise etc."
Mi TV 4A Pro (49),"Xiaomi Mi LED TV 4A Pro review, 49 inch Android TV with Patch Wall, priced Rs. 29,999",4,"Here is the Xiaomi Mi TV 4A Pro unboxing and review. In this video I have shown the content you will get inside the box. Also talked about the voice control remote and Mi LED TV 4A Pro TV features. ,The Mi LED TV (Pro) variant is available in 3 size options,
1. Mi LED TV 4C 32 inch with HD resolution for Rs. 14,999,
2. Mi LED TV 4 Pro 55 inch for Rs. 49,999 (10th October on Flipkart at 12 noon),
3. Mi LED TV 4A Pro 49 inch for Rs. 29,999 (9th October at 9PM on Amazon.in),49 inch screen with 1080p FHD + HDR,
10W x 2 = 20W stereo speakers,
3 HDMI, 2 USB, audio and S/PDIF,
64 Bit Quad Core processor with Mali 450 GPU,
2GB RAM, 8GB storage,
Android TV running Oreo,
Bluetooth 4.2 / Wi-Fi 2.4GHz,
Mi Remoter (bluetooth) with Voice Control,
Oer 3500+ set top boxes supported,
Google Play, YouTube PLay Music and more"
Zeblaze Thor Pro,"Zeblaze THOR PRO review – Android 5.1 powered, 3G smartwatch Rs. 7,300  + coupon code",4,"The Zeblaze THOR PRO is a unique smartwatch that is tough and packed with a lot of features that you usually find in a smartphone. ,Zeblaze THOR PRO 3G IPS Display GPS Smart Watch — , (10% off coupon: 10thor3g),
Zeblaze Smart Watch — ,
More Android Smart Watch — ,Offer – $29.99 Bluedio T2S Wireless Headphone — , (coupon: 7dfa03),This smartwatch can be connected with a smartphone via Bluetooth or you can go standalone, just insert a nano SIM.,The watch is really good, looks premium, powerful and the screen quality is pretty good. The screen is visible in sunlight. You can insert a nano SIM and use it like a mobile phone. There is built in speaker and mic.,Battery life is decent you will get one to one and a half days of battery usage.,Bluetooth 4.0,
MTK6580 1.0GHz,Quad Core,
GSM: 850/900/1800/1900Mhz WCDMA : 850/2100Mhz,
Screen – 1.53inch IPS Display, CORNING Gorilla Glass 3, 320*320 pixel,
RAM – 1GB, ROM 16GB,
Camera – 2MP,
Mic, Speaker,
Android 5.1,
500 mAh battery,
Heart-rate monitor, Proximity sensor, Accelerometer, Global Positioning System,
Function – 2G, 3G, GPS, WiFi, Weather, Phonebook, Alarm, Bluetooth, Browser,,
Calendar, Camera, E-book, Fingerprint recognition, MP3, MP4, Heart rate monitor, Pedometer , Call Reminder, Remote Music, message Notification, Alarm, Remote Camera, Answer Call, Dial Call"
Amazfit Cor,"Amazfit Cor review – fitness band with LCD color touch screen for Rs. 3,999",4,"This is Amazfit Cor review, in this video I have done the unboxing, talked about features and performance. This fitness band is available on Amazon for Rs. 3,999. ,You can buy here – ,The Amazfit Cor is a fitness tracking band, it is durability, sleek and has a minimalistic design.,It features a 1.23 inch curved IPS color LCD touchscreen with Gorilla 3 glass and anti-fingerprint coating. This band can track track your daily steps, distance travelled, calories burned, heart rate, and sleep quality, special sport modes (running, treadmill, cycling and walking) give you even more detailed insights into your most frequent activities.,It is also 5 ATM water resistance allows you to take the Cor to depths up to 50 meters for swimming and other water activities and the extended day battery life will keep you going for 12 days of normal use on a single charge.,Xiaomi Amazfit Bip Smartwatch review – 45 days battery life, Approx Rs. 5000 – ,Amazfit Pace review in Hindi, Best Smartwatch now in India on Amazon for Rs. 9,999 – ,Amazfit Stratos review – Amazing Smartwatch now in India, Amazfit Bip also available – ,https://youtu.be/x_gut4eNG3o"
